"Company name","ASX code","GICS industry group","Price","High","Low","Change","Volume"
"INCREMENTAL OIL AND GAS LIMITED","IOG","Energy","0.0220","0.0220","0.0220","0.0000","14000"
"INDAGO ENERGY LIMITED","INK","Energy","0.0930","0.0930","0.0920","0.0031","16000"
"INDEPENDENCE GROUP NL","IGO","Materials","3.7150","3.7300","3.7050","0.0000","498976"
"INDIA FUND LIMITED.","INF","Class Pend",,"","","",""
"INDIA RESOURCES LIMITED","IRL","Materials",,"","","",""
"INDIANA RESOURCES LIMITED","IDA","Materials","0.0640","0.0640","0.0640","0.0000","921"
"INDO MINES LIMITED","IDO","Materials","0.0120","0.0120","0.0120","0.0000","2000"
"INDOCHINE MINING LIMITED","IDC","Materials",,"","","",""
"INDOOR SKYDIVE AUSTRALIA GROUP LIMITED","IDZ","Consumer Services","0.2500","0.2500","0.2500","0.0000","20000"
"INDUS COAL LIMITED","ICZ","Energy",,"","","",""
"INDUS ENERGY NL","IND","Energy",,"","","",""
"INDUSTRIA REIT","IDR","Real Estate","2.4700","2.4800","2.4400","-0.0049","49089"
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED","ICB","Not Applic",,"","","",""
"INFIGEN ENERGY","IFN","Utilities","0.7450","0.7470","0.7400","0.0000","123767"
"INFOMEDIA LTD","IFM","Software & Services","0.7500","0.7550","0.7500","-0.0099","18007"
"INFRATIL LIMITED.","IFT","Utilities",,"","","",""
"INGENIA COMMUNITIES GROUP","INA","Real Estate",,"","","",""
"INGHAMS GROUP LIMITED","ING","Food, Beverage & Tobacco","3.8500","3.8900","3.8500","-0.0100","61026"
"INNATE IMMUNOTHERAPEUTICS LIMITED","IIL","Pharmaceuticals, Biotechnology & Life Sciences","0.0310","0.0310","0.0310","-0.0010","1100"
"INSURANCE AUSTRALIA GROUP LIMITED","IAG","Insurance","6.3950","6.4100","6.3850","0.0198","554538"
"INTEGRAL DIAGNOSTICS LIMITED","IDX","Health Care Equipment & Services","1.6150","1.6200","1.6150","0.0000","128"
"INTEGRATED MEDIA TECHNOLOGY LIMITED","ITL","Media","6.7500","6.7500","6.7500","0.0000","300"
"INTEGRATED PAYMENT TECHNOLOGIES LIMITED","IP1","Software & Services","0.1200","0.1200","0.1200","0.0171","15000"
"INTEGRATED RESEARCH LIMITED","IRI","Software & Services","3.5400","3.6200","3.5400","-0.0297","25436"
"INTERMIN RESOURCES LIMITED","IRC","Materials","0.0980","0.0980","0.0980","-0.0010","15578"
"INTERNATIONAL EQUITIES CORPORATION LIMITED.","IEQ","Real Estate",,"","","",""
"INTERNATIONAL FINANCE CORPORATION","IFX","Not Applic",,"","","",""
"INTERNATIONAL GOLDFIELDS LIMITED...","IGS","Materials",,"","","",""
"INTERPOSE HOLDINGS LIMITED","IHS","Energy","0.0270","0.0270","0.0270","-0.0019","175000"
"INTERSTAR MILLENNIUM SERIES 2002-1G TRUST","IMG","Not Applic",,"","","",""
"INTERSTAR MILLENNIUM SERIES 2003-3G TRUST","IMX","Not Applic",,"","","",""
"INTERSTAR MILLENNIUM SERIES 2004-1E TRUST","IMQ","Not Applic",,"","","",""
"INTERSTAR MILLENNIUM SERIES 2004-2G TRUST","IMK","Not Applic",,"","","",""
